#v_up err_v_up v_0 err_v_0 v_down err_v_down
0.0001869159 0.0000349375 0.0000410678 0.0000016866 0.0002666667 0.0000711111
0.0001680672 0.0000282466 0.0000334448 0.0000011186 0.0002061856 0.0000425125
0.0001550388 0.0000240370 0.0001574803 0.0000248000 0.0007407407 0.0005486968
0.0001785714 0.0000318878 0.0000772201 0.0000059629 0.0003448276 0.0001189061
0.0002666667 0.0000711111 0.0000775194 0.0000060093 0.0003846154 0.0001479290
0.0001242236 0.0000154315 0.0000364964 0.0000013320 0.0004347826 0.0001890359
0.0003921569 0.0001537870 0.0000457666 0.0000020946 0.0004395604 0.0001932134
0.0001600000 0.0000256000 0.0000476190 0.0000022676 0.0004347826 0.0001890359
0.0000421941 0.0000017803 0.0001941748 0.0000377038 0.0005000000 0.0002500000
0.0000591716 0.0000035013 0.0001481481 0.0000219479 0.0005714286 0.0003265306
0.0001574803 0.0000248000 0.0001600000 0.0000256000 0.0005714286 0.0003265306
0.0002564103 0.0000657462 0.0001587302 0.0000251953 0.0005000000 0.0002500000
0.0001470588 0.0000216263 0.0000913242 0.0000083401 0.0003278689 0.0001074980
0.0000851064 0.0000072431 0.0000488998 0.0000023912 0.0001834862 0.0000336672
0.0001360544 0.0000185108 0.0000375235 0.0000014080 0.0001941748 0.0000377038
