#v_up err_v_up v_0 err_v_0 v_down err_v_down g err_g E err_E
0.0001567398 0.0000086870 0.0001694915 0.0000101580 0.0005714286 0.0001154612 9.8107 0.020 510 1
0.0002016129 0.0000203239 0.0004807692 0.0001155695 0.0011363636 0.0006456612 9.8107 0.020 510 1
0.0013157895 0.0008656510 0.0003787879 0.0000717401 0.0026315789 0.0034626039 9.8107 0.020 510 1
0.0001096491 0.0000060115 0.0001445087 0.0000104414 0.0003472222 0.0000602816 9.8107 0.020 510 1
0.0009433962 0.0002568530 0.0002450980 0.0000173371 0.0013698630 0.0006635391 9.8107 0.020 510 1
0.0007407407 0.0001940192 0.0003424658 0.0000414712 0.0012195122 0.0005258775 9.8107 0.020 510 1
0.0007575758 0.0002869605 0.0001805054 0.0000162911 0.0012195122 0.0007436050 9.8107 0.020 510 1
0.0006756757 0.0002282688 0.0001923077 0.0000184911 0.0014285714 0.0010204082 9.8107 0.020 510 1
0.0005434783 0.0001476843 0.0001557632 0.0000121311 0.0005813953 0.0001690103 9.8107 0.020 510 1
0.0001566220 0.0000059511 0.0000545887 0.0000007229 0.0002606610 0.0000164833 9.8107 0.020 510 1
0.0000183688 0.0000001687 0.0000388199 0.0000007535 0.0001108647 0.0000061455 9.8107 0.020 510 1
0.0000306748 0.0000003327 0.0000406009 0.0000005829 0.0001142857 0.0000046184 9.8107 0.020 510 1
0.0000676133 0.0000016165 0.0000707214 0.0000017685 0.0002012072 0.0000143153 9.8107 0.020 510 1
